,Name,Rating,Style,Blend,Vintage,Appellation,ABV,Price,Reviewed By,Reviewed,Perfect For,Drink If You Like,Review,image,link,Variety,Review Updated
0,Locations Wine CA Red NV,88,Red,"Petite Sirah, Barbera, Grenache, Syrah / Shiraz",NV,CaliforniaUSA,15.8%,$21.00,Keith Beavers,2022-04-07,"Host/Hostess Gifting,Party Wine,Steak Dinner","Cabernet Sauvignon, Malbec , Merlot","This is a hot wine. The alcohol hits you first, then underneath that heat are aromas of mocha and blueberries. The palate is very smooth blurring any layers of complexity and the tannins are soft to the point of almost not being there.",https://vinepair.com/wp-content/uploads/2022/04/btb-red-blends-card-locations.jpg,https://vinepair.com/review/locations-wine-ca-red-2/,,
1,Château Minuty 281 2021,94,Rosé,"Grenache, Syrah / Shiraz",2021,ProvenceFrance,12.5%,$95.00,Keith Beavers,2022-05-17,"Holiday Meals,Special Occasion Splurges,Winning Over the Boss","Albariño, Chardonnay , Pinot Gris / Grigio","This wine is a show. Once you pop it and begin enjoying it, the aromas arrive in acts. First, you get an aroma of the juiciest of peaches, the ones you love to just bite into. You're then graced with a pop of strawberry and, before you know it, a waft of melon at the height of spring floats into your brain. It all comes together on the palate with a dollop of full-flavored fruit. You can actually feel the weight of it, as the bracing acidity activates and brightens up the wine. It has depth and character and is one hell of great Provence rosé.",https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-top-roses-2022-card-chateau-minuty.jpg,https://vinepair.com/review/chateau-minuty-281/,,
2,Flowers Vineyards & Winery Sonoma Coast Chardonnay 2019,91,White,,2019,Sonoma CoastSonoma County North Coast California USA,13.5%,$50.00,Keith Beavers,2022-05-13,"Dinner Parties,Dinner With The Parents,Treat Yo'self","Albariño, Chardonnay , Chenin Blanc",Flowers loves fog. Not actual flowers but the Flowers winery. They have been making wines with Pacific influence for thirty years. You can tell right away the care taken in making this wine. It has an elegance to it yet shows wonderful depth. Fruit is not as prominent on the nose as the ocean winds retain the natural acidity in these almost seaside grapes. The palate is voluptuous with a wonderful mouthfeel. It has depth. It has lift. It is a truly wonderful Sonoma Chardonnay.,https://vinepair.com/wp-content/uploads/2022/05/buy-this-booze-chardonnay-card-flowers.jpg,https://vinepair.com/review/flowers-vineyards-winery-sonoma-coast-chardonnay/,Chardonnay,
3,Chateau Massereau Tradition 2018,90,Red,"Merlot, Cabernet Franc, Cabernet Sauvignon, Petit Verdot",2018,BordeauxFrance,13.5%,$26.00,Keith Beavers,2021-11-22,"Dinner Parties,Weekday Dinner Pairings,Wine And Cheese Night","Cabernet Franc, Merlot , Petit Verdot","Bright with punchy fruit, this wine has a savory aroma, followed by black and blueberry fruit on the nose. It's earthy, a little funky, and ready for a charcuterie board.",https://vinepair.com/wp-content/uploads/2021/11/btbbordeaux_card_chateaumassereau.jpg,https://vinepair.com/review/chateau-massereau-tradition/,,
4,Cathedral Ridge Winery 'The Daughter's Reserve' 2016,88,Red,"Cabernet Sauvignon, Cabernet Franc, Petit Verdot",2016,Columbia ValleyWashington USA,14.2%,$58.00,Keith Beavers,2022-04-07,"Holiday Meals,Host/Hostess Gifting,Steak Dinner","Cabernet Sauvignon, Malbec , Merlot",The alcohol on this wine is the first thing you notice. Underneath the fruit is tight and sharp with some sweet spice. Those warming spices carry to the palate adding complexity to the spiked fruit. This is a deceptively good red blend.,https://vinepair.com/wp-content/uploads/2022/04/btb-red-blends-card-the-daughters.jpg,https://vinepair.com/review/cathedral-ridge-winery-the-daughters-reserve/,,
5,Freemark Abbey Napa Valley Cabernet Sauvignon 2017,90,Red,,2017,Napa ValleyNapa County North Coast California USA,14.5%,$47.00,Keith Beavers,,"Dinner With The Parents,Holiday Meals,Steak Dinner","Cabernet Franc, Cabernet Sauvignon , Merlot","This wine is still softening and reducing to its peak, but it's drinking well now. The deep fruit core has a nice weight on the palate. The aromas of blackberries and soil are starting to emerge. This is a wine for protein — and a lot of it. A big ol’ steak is on the menu here.",https://vinepair.com/wp-content/uploads/2021/10/btbcab_card_freemark.jpg,https://vinepair.com/review/freemark-abbey-napa-valley-cabernet-sauvignon-3/,Cabernet Sauvignon,2021-10-19
6,Breaking Bread Field Blend Cuvee 2020,90,Red,"Zinfandel, Carignan, Petite Sirah",2020,Sonoma CountyNorth Coast California USA,12.8%,$26.00,Keith Beavers,2022-04-07,"All-Day Sipping,Chilled Red Cravings,Pizza Night","Gamay, Pinot Noir , Zinfandel","Winemaker Eric Miller makes great wines at his Kokomo winery in Sonoma. Breaking Bread is his side hustle/passion project, where he gets a little more experimental. His skills shine through on this more fun side of winemaking that he clearly takes as seriously as Kokomo. This is a whole cluster fermentation red, aged in neutral (used) barrels. And man is it balanced and refreshing. The nose hits with absolute rhubarb followed by a punchy berry fruit note (like all the berries), and a small heady dose of herbs. The palate is fat and juicy with tight fruit and some of that herbiness in the background. It's a very balanced wine and great for casual nights.",https://vinepair.com/wp-content/uploads/2022/04/btb-red-blends-card-breaking-bread.jpg,https://vinepair.com/review/breaking-bread-field-blend-cuvee/,,
7,Cakebread Cellars Sauvignon Blanc 2021,89,White,,2021,Napa ValleyNapa County North Coast California USA,14.1%,$30.00,Keith Beavers,2022-07-19,"Host/Hostess Gifting,Relaxing After Work,Wine And Cheese Night","Assyrtiko, Sauvignon Blanc , Verdejo","The Cakebread family has a wide range of wines in their portfolio, but Sauvignon Blanc, in 1972, got them started. This bottle shows they have been intimately involved with this variety ever since. It is a lithe and refreshing Savvy B that's aromatic and mineral-driven on the nose. The palate has some grip to it, but it’s subtle. The wine sees just a touch of neutral (used) barrels, so there is a slight oaky vibe. A very refreshing, elegant wine.",https://vinepair.com/wp-content/uploads/2022/07/sauvignon-blanc-card-cakebread-cellars.jpg,https://vinepair.com/review/cakebread-cellars-sauvignon-blanc/,Sauvignon Blanc,
8,Merry Edwards Winery Sonoma Coast Pinot Noir 2019,94,Red,,2019,Sonoma CoastSonoma County North Coast California USA,14.5%,$58.00,Keith Beavers,2022-03-02,,,"Winemaker Heidi von der Mehden says that this vintage produced ""our sought-after Sonoma Coast style: elegant, bright acidity, red fruit, and earthy notes."" This is wonderful because Merry Edwards basically innovated this style! Beautiful and soft with an elegant frame this Pinot Noir shows classic cherry notes with a unique waft of Spring garden vegetables. The palate is the height of balance for this region, with calm fruit and the right amount of natural acidity lifting the wine.",https://vinepair.com/wp-content/uploads/2022/02/btbpinotnoir_card_merry-edwards.jpg,https://vinepair.com/review/merry-edwards-winery-sonoma-coast-pinot-noir/,Pinot Noir,
9,Jadix Picpoul de Pinet 2019,89,White,,2019,LanguedocLanguedoc-Roussillon France,12.5%,$13.00,Keith Beavers,2021-02-11,"All-Day Sipping,Cooking And Sipping,Pleasing A Crowd","Grüner Veltliner, Melon de Bourgogne , Pinot Gris / Grigio","Extremely refreshing and easy to drink. Ripe, balanced fruit and bracing acicidty cleanse the palate for the next sip. This, with a pile of fresh, raw seafood would be the best!",https://vinepair.com/wp-content/uploads/2021/02/winereview_card_jadix_picpouldepinet.jpg,https://vinepair.com/review/jadix-picpoul-de-pinet/,,
